QUERY,PRICE_TYPE,TIME_PERIOD,INTENT
How has Facebook's stock performed over the 6 months ago?,current,6mo,stock_trend
Show me the current trend of Apple over the 5 days ago.,current,5d,stock_trend
Show me the current trend of Amazon over the yesterday.,current,1d,stock_trend
How has Microsoft's stock performed over the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Google in the 2 days ago?,current,2d,stock_trend
What has been the stock movement for Tesla in the 6 months ago?,current,6mo,stock_trend
Show me the current trend of Amazon over the 6 months ago.,current,6mo,stock_trend
How has Tesla's stock performed over the last year?,current,1y,stock_trend
Show me the current trend of Google over the 6 months ago.,current,6mo,stock_trend
What has been the stock movement for Amazon in the today?,current,1d,stock_trend
Show me the current trend of Apple over the 6 months ago.,current,6mo,stock_trend
What has been the stock movement for Google in the 5 days ago?,current,5d,stock_trend
How has Apple's stock performed over the 2 days ago?,current,2d,stock_trend
How has Microsoft's stock performed over the 2 days ago?,current,2d,stock_trend
What has been the stock movement for Apple in the yesterday?,current,1d,stock_trend
Show me the current trend of Google over the today.,current,1d,stock_trend
Show me the current trend of Apple over the 5 days ago.,current,5d,stock_trend
What has been the stock movement for Google in the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Tesla in the last year?,current,1y,stock_trend
Show me the current trend of Google over the 3 months ago.,current,3mo,stock_trend
What has been the stock movement for Apple in the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Tesla in the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Microsoft in the 2 days ago?,current,2d,stock_trend
How has Tesla's stock performed over the yesterday?,current,1d,stock_trend
What has been the stock movement for Amazon in the 3 months ago?,current,3mo,stock_trend
What has been the stock movement for Tesla in the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Tesla in the 2 days ago?,current,2d,stock_trend
What has been the stock movement for Tesla in the last year?,current,1y,stock_trend
What has been the stock movement for Microsoft in the last year?,current,1y,stock_trend
Show me the current trend of Apple over the last month.,current,1mo,stock_trend
What was Tesla's current price 6 months ago?,current,6mo,price_inquiry
Show me the current trend of Microsoft over the yesterday.,current,1d,stock_trend
What has been the stock movement for Facebook in the 2 days ago?,current,2d,stock_trend
What has been the stock movement for Microsoft in the today?,current,1d,stock_trend
Show me the current trend of Amazon over the yesterday.,current,1d,stock_trend
How has Tesla's stock performed over the last month?,current,1mo,stock_trend
Show me the current trend of Apple over the 6 months ago.,current,6mo,stock_trend
Show me the current trend of Microsoft over the 5 days ago.,current,5d,stock_trend
What is the current price of Microsoft for last year?,current,1y,price_inquiry
What has been the stock movement for Amazon in the today?,current,1d,stock_trend
Show me the current trend of Facebook over the last month.,current,1mo,stock_trend
Show me the current trend of Google over the 3 months ago.,current,3mo,stock_trend
What has been the stock movement for Microsoft in the 6 months ago?,current,6mo,stock_trend
Show me the current trend of Apple over the 5 days ago.,current,5d,stock_trend
How has Facebook's stock performed over the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Amazon in the last month?,current,1mo,stock_trend
What has been the stock movement for Apple in the 5 days ago?,current,5d,stock_trend
What has been the stock movement for Apple in the 2 days ago?,current,2d,stock_trend
Show me the current trend of Facebook over the 6 months ago.,current,6mo,stock_trend
What has been the stock movement for Tesla in the last year?,current,1y,stock_trend
Show me the current trend of Apple over the last year.,current,1y,stock_trend
What has been the stock movement for Facebook in the 5 days ago?,current,5d,stock_trend
Show me the current trend of Google over the 3 months ago.,current,3mo,stock_trend
How has Apple's stock performed over the last month?,current,1mo,stock_trend
What has been the stock movement for Apple in the 6 months ago?,current,6mo,stock_trend
Show me the current trend of Amazon over the 5 days ago.,current,5d,stock_trend
What has been the stock movement for Amazon in the 5 days ago?,current,5d,stock_trend
How has Tesla's stock performed over the last month?,current,1mo,stock_trend
Show me the current trend of Tesla over the last year.,current,1y,stock_trend
What has been the stock movement for Apple in the 3 months ago?,current,3mo,stock_trend
What has been the stock movement for Tesla in the last year?,current,1y,stock_trend
How has Google's stock performed over the 2 days ago?,current,2d,stock_trend
Show me the current trend of Apple over the 3 months ago.,current,3mo,stock_trend
Show me the current trend of Facebook over the last year.,current,1y,stock_trend
What has been the stock movement for Apple in the 3 months ago?,current,3mo,stock_trend
Show me the current trend of Amazon over the last month.,current,1mo,stock_trend
How has Microsoft's stock performed over the 6 months ago?,current,6mo,stock_trend
How has Tesla's stock performed over the last month?,current,1mo,stock_trend
What has been the stock movement for Apple in the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Microsoft in the 2 days ago?,current,2d,stock_trend
How has Apple's stock performed over the this year?,current,ytd,stock_trend
How has Facebook's stock performed over the last year?,current,1y,stock_trend
How has Microsoft's stock performed over the last month?,current,1mo,stock_trend
What has been the stock movement for Amazon in the 6 months ago?,current,6mo,stock_trend
Show me the current trend of Microsoft over the 6 months ago.,current,6mo,stock_trend
Show me the current trend of Google over the 3 months ago.,current,3mo,stock_trend
How has Tesla's stock performed over the 5 days ago?,current,5d,stock_trend
Compare the current price of Facebook and Amazon this year.,current,ytd,stock_comparison
What has been the stock movement for Facebook in the last year?,current,1y,stock_trend
Show me the current trend of Amazon over the last month.,current,1mo,stock_trend
How has Microsoft's stock performed over the 5 days ago?,current,5d,stock_trend
What has been the stock movement for Facebook in the 2 days ago?,current,2d,stock_trend
How has Apple's stock performed over the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Amazon in the last year?,current,1y,stock_trend
What has been the stock movement for Facebook in the 2 days ago?,current,2d,stock_trend
What has been the stock movement for Microsoft in the 3 months ago?,current,3mo,stock_trend
What has been the stock movement for Apple in the 5 days ago?,current,5d,stock_trend
What has been the stock movement for Facebook in the 2 days ago?,current,2d,stock_trend
Show me the current trend of Amazon over the 5 days ago.,current,5d,stock_trend
Show me the current trend of Facebook over the 6 months ago.,current,6mo,stock_trend
How has Tesla's stock performed over the last month?,current,1mo,stock_trend
How has Amazon's stock performed over the 5 days ago?,current,5d,stock_trend
How has Microsoft's stock performed over the last year?,current,1y,stock_trend
What has been the stock movement for Microsoft in the last year?,current,1y,stock_trend
Show me the current trend of Apple over the last year.,current,1y,stock_trend
Show me the current trend of Microsoft over the yesterday.,current,1d,stock_trend
How has Microsoft's stock performed over the last month?,current,1mo,stock_trend
How has Amazon's stock performed over the 3 months ago?,current,3mo,stock_trend
What has been the stock movement for Amazon in the 5 days ago?,current,5d,stock_trend
What has been the stock movement for Amazon in the today?,current,1d,stock_trend
How has Microsoft's stock performed over the 6 months ago?,current,6mo,stock_trend
What has been the stock movement for Amazon in the 2 days ago?,current,2d,stock_trend
What has been the stock movement for Apple in the last year?,current,1y,stock_trend
How has Tesla's stock performed over the last month?,current,1mo,stock_trend
Show me the current trend of Google over the last month.,current,1mo,stock_trend
How has Tesla's stock performed over the 5 days ago?,current,5d,stock_trend
What has been the stock movement for Google in the last year?,current,1y,stock_trend
What has been the stock movement for Tesla in the last year?,current,1y,stock_trend
Show me the current trend of Microsoft over the 5 days ago.,current,5d,stock_trend
What has been the stock movement for Amazon in the 2 days ago?,current,2d,stock_trend
What has been the stock movement for Tesla in the 2 days ago?,current,2d,stock_trend
How has Tesla's stock performed over the last month?,current,1mo,stock_trend
What has been the stock movement for Facebook in the 3 months ago?,current,3mo,stock_trend
How has Microsoft's stock performed over the 2 days ago?,current,2d,stock_trend
What has been the stock movement for Tesla in the last year?,current,1y,stock_trend
What has been the stock movement for Tesla in the 2 days ago?,current,2d,stock_trend
Show me the current trend of Microsoft over the 6 months ago.,current,6mo,stock_trend
What has been the stock movement for Facebook in the 5 days ago?,current,5d,stock_trend
What has been the stock movement for Amazon in the 3 months ago?,current,3mo,stock_trend
Show me the current trend of Microsoft over the 5 days ago.,current,5d,stock_trend
What has been the stock movement for Apple in the 3 months ago?,current,3mo,stock_trend
What has been the stock movement for Facebook in the 2 days ago?,current,2d,stock_trend
How has Tesla's stock performed over the last month?,current,1mo,stock_trend
Show me the current trend of Microsoft over the yesterday.,current,1d,stock_trend
Show me the current trend of Facebook over the 3 months ago.,current,3mo,stock_trend
Show me the current trend of Amazon over the 5 days ago.,current,5d,stock_trend
How has Google's stock performed over the last month?,current,1mo,stock_trend
What has been the stock movement for Tesla in the today?,current,1d,stock_trend
What has been the stock movement for Apple in the 5 days ago?,current,5d,stock_trend
How has Apple's stock performed over the last month?,current,1mo,stock_trend
Tell me the open price of Facebook last month.,open,1mo,price_inquiry
What was Amazon's open price 5 days ago?,open,5d,price_inquiry
What is the open price of Amazon for last month?,open,1mo,price_inquiry
Tell me the open price of Amazon 3 months ago.,open,3mo,price_inquiry
Tell me the open price of Apple 2 days ago.,open,2d,price_inquiry
Compare the open price of Apple and Amazon this year.,open,ytd,stock_comparison
Tell me the open price of Facebook last month.,open,1mo,price_inquiry
What is the open price of Microsoft for last month?,open,1mo,price_inquiry
Tell me the open price of Tesla today.,open,1d,price_inquiry
What was Google's open price 3 months ago?,open,3mo,price_inquiry
What is the open price of Tesla for last month?,open,1mo,price_inquiry
Tell me the open price of Apple 6 months ago.,open,6mo,price_inquiry
What is the open price of Google for 6 months ago?,open,6mo,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Google 5 days ago.,open,5d,price_inquiry
What is the open price of Apple for 2 days ago?,open,2d,price_inquiry
Tell me the open price of Tesla 6 months ago.,open,6mo,price_inquiry
Compare the open price of Tesla and Apple this year.,open,ytd,stock_comparison
What was Microsoft's open price 5 days ago?,open,5d,price_inquiry
Tell me the open price of Apple today.,open,1d,price_inquiry
Compare the open price of Facebook and Apple this year.,open,ytd,stock_comparison
Tell me the open price of Facebook last year.,open,1y,price_inquiry
What was Apple's open price 2 days ago?,open,2d,price_inquiry
Tell me the open price of Tesla 2 days ago.,open,2d,price_inquiry
What was Amazon's open price 5 days ago?,open,5d,price_inquiry
What is the open price of Apple for 2 days ago?,open,2d,price_inquiry
What is the open price of Tesla for 2 days ago?,open,2d,price_inquiry
Compare the open price of Amazon and Facebook this year.,open,ytd,stock_comparison
What is the open price of Facebook for last year?,open,1y,price_inquiry
What was Google's open price 5 days ago?,open,5d,price_inquiry
What is the open price of Google for 6 months ago?,open,6mo,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
Compare the open price of Apple and Amazon this year.,open,ytd,stock_comparison
What was Microsoft's open price 2 days ago?,open,2d,price_inquiry
What was Microsoft's open price 5 days ago?,open,5d,price_inquiry
Tell me the open price of Microsoft 3 months ago.,open,3mo,price_inquiry
Compare the open price of Microsoft and Amazon this year.,open,ytd,stock_comparison
Tell me the open price of Google 5 days ago.,open,5d,price_inquiry
Tell me the open price of Google 5 days ago.,open,5d,price_inquiry
Compare the open price of Google and Microsoft this year.,open,ytd,stock_comparison
Tell me the open price of Microsoft 3 months ago.,open,3mo,price_inquiry
Tell me the open price of Apple 5 days ago.,open,5d,price_inquiry
What was the open price comparison between Microsoft and Facebook this year?,open,ytd,stock_comparison
Tell me the open price of Facebook today.,open,1d,price_inquiry
What is the open price of Facebook for 3 months ago?,open,3mo,price_inquiry
Compare the open price of Google and Microsoft this year.,open,ytd,stock_comparison
What was the open price comparison between Apple and Microsoft this year?,open,ytd,stock_comparison
Compare the open price of Apple and Tesla this year.,open,ytd,stock_comparison
What is the open price of Microsoft for last month?,open,1mo,price_inquiry
What was Amazon's open price 5 days ago?,open,5d,price_inquiry
Tell me the open price of Tesla 2 days ago.,open,2d,price_inquiry
What was Amazon's open price yesterday?,open,1d,price_inquiry
Compare the open price of Facebook and Amazon this year.,open,ytd,stock_comparison
Tell me the open price of Amazon 2 days ago.,open,2d,price_inquiry
Tell me the open price of Facebook today.,open,1d,price_inquiry
What is the open price of Amazon for 5 days ago?,open,5d,price_inquiry
What was Amazon's open price 5 days ago?,open,5d,price_inquiry
Tell me the open price of Tesla today.,open,1d,price_inquiry
What was Apple's open price 5 days ago?,open,5d,price_inquiry
What is the open price of Apple for 2 days ago?,open,2d,price_inquiry
Tell me the open price of Facebook today.,open,1d,price_inquiry
What is the open price of Microsoft for today?,open,1d,price_inquiry
Tell me the open price of Apple today.,open,1d,price_inquiry
Compare the open price of Google and Microsoft this year.,open,ytd,stock_comparison
Tell me the open price of Facebook today.,open,1d,price_inquiry
What was Apple's open price 5 days ago?,open,5d,price_inquiry
Tell me the open price of Tesla 2 days ago.,open,2d,price_inquiry
What was the open price comparison between Facebook and Amazon this year?,open,ytd,stock_comparison
What was Google's open price 6 months ago?,open,6mo,price_inquiry
Compare the open price of Apple and Facebook this year.,open,ytd,stock_comparison
What was Google's open price last year?,open,1y,price_inquiry
What was the open price comparison between Apple and Microsoft this year?,open,ytd,stock_comparison
What was Google's open price 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Tesla 6 months ago.,open,6mo,price_inquiry
Tell me the open price of Facebook last year.,open,1y,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
What is the open price of Facebook for 3 months ago?,open,3mo,price_inquiry
Tell me the open price of Apple 2 days ago.,open,2d,price_inquiry
What was Google's open price 5 days ago?,open,5d,price_inquiry
Tell me the open price of Tesla today.,open,1d,price_inquiry
What was the open price comparison between Facebook and Amazon this year?,open,ytd,stock_comparison
Compare the open price of Google and Facebook this year.,open,ytd,stock_comparison
What was Google's open price 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Amazon 2 days ago.,open,2d,price_inquiry
What is the open price of Amazon for 5 days ago?,open,5d,price_inquiry
Compare the open price of Google and Apple this year.,open,ytd,stock_comparison
Compare the open price of Facebook and Amazon this year.,open,ytd,stock_comparison
What is the open price of Facebook for last year?,open,1y,price_inquiry
What was Microsoft's open price today?,open,1d,price_inquiry
What was Amazon's open price last month?,open,1mo,price_inquiry
What was Microsoft's open price 2 days ago?,open,2d,price_inquiry
Tell me the open price of Facebook today.,open,1d,price_inquiry
What was the open price comparison between Microsoft and Facebook this year?,open,ytd,stock_comparison
What is the open price of Microsoft for today?,open,1d,price_inquiry
What is the open price of Tesla for last month?,open,1mo,price_inquiry
What is the open price of Google for 6 months ago?,open,6mo,price_inquiry
What was Microsoft's open price 5 days ago?,open,5d,price_inquiry
What was the open price comparison between Tesla and Google this year?,open,ytd,stock_comparison
What was Amazon's open price yesterday?,open,1d,price_inquiry
What was Microsoft's open price 5 days ago?,open,5d,price_inquiry
What was Google's open price today?,open,1d,price_inquiry
Compare the open price of Apple and Facebook this year.,open,ytd,stock_comparison
What was the open price comparison between Google and Facebook this year?,open,ytd,stock_comparison
What was Facebook's open price 2 days ago?,open,2d,price_inquiry
Tell me the open price of Facebook last year.,open,1y,price_inquiry
Tell me the open price of Tesla today.,open,1d,price_inquiry
What is the open price of Amazon for 5 days ago?,open,5d,price_inquiry
Compare the open price of Google and Amazon this year.,open,ytd,stock_comparison
Tell me the open price of Microsoft 3 months ago.,open,3mo,price_inquiry
What is the open price of Microsoft for today?,open,1d,price_inquiry
Tell me the open price of Tesla today.,open,1d,price_inquiry
Tell me the open price of Apple today.,open,1d,price_inquiry
Tell me the open price of Amazon 6 months ago.,open,6mo,price_inquiry
What is the open price of Tesla for 2 days ago?,open,2d,price_inquiry
What was the open price comparison between Microsoft and Tesla this year?,open,ytd,stock_comparison
What was the open price comparison between Microsoft and Amazon this year?,open,ytd,stock_comparison
Compare the open price of Microsoft and Facebook this year.,open,ytd,stock_comparison
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Amazon 2 days ago.,open,2d,price_inquiry
Tell me the open price of Google 5 days ago.,open,5d,price_inquiry
Tell me the open price of Google 3 months ago.,open,3mo,price_inquiry
Tell me the open price of Apple last year.,open,1y,price_inquiry
What was Apple's open price 2 days ago?,open,2d,price_inquiry
Compare the open price of Microsoft and Tesla this year.,open,ytd,stock_comparison
What is the open price of Facebook for last year?,open,1y,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
Compare the open price of Google and Facebook this year.,open,ytd,stock_comparison
What is the open price of Microsoft for last month?,open,1mo,price_inquiry
Compare the open price of Facebook and Amazon this year.,open,ytd,stock_comparison
Tell me the open price of Amazon 6 months ago.,open,6mo,price_inquiry
Tell me the open price of Tesla today.,open,1d,price_inquiry
What is the open price of Apple for 2 days ago?,open,2d,price_inquiry
What is the open price of Microsoft for today?,open,1d,price_inquiry
What was Facebook's open price last month?,open,1mo,price_inquiry
What was Amazon's open price last month?,open,1mo,price_inquiry
What was Apple's open price yesterday?,open,1d,price_inquiry
Tell me the open price of Facebook 5 days ago.,open,5d,price_inquiry
Tell me the open price of Facebook 2 days ago.,open,2d,price_inquiry
What is the open price of Google for 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Apple 2 days ago.,open,2d,price_inquiry
What is the open price of Microsoft for today?,open,1d,price_inquiry
What was Microsoft's open price today?,open,1d,price_inquiry
What was Microsoft's open price 2 days ago?,open,2d,price_inquiry
Tell me the open price of Apple 6 months ago.,open,6mo,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Microsoft 3 months ago.,open,3mo,price_inquiry
What was Apple's open price yesterday?,open,1d,price_inquiry
What is the open price of Apple for 2 days ago?,open,2d,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
Compare the open price of Google and Amazon this year.,open,ytd,stock_comparison
What is the open price of Amazon for 5 days ago?,open,5d,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
What is the open price of Tesla for last month?,open,1mo,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
What is the open price of Facebook for 3 months ago?,open,3mo,price_inquiry
Tell me the open price of Amazon 2 days ago.,open,2d,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
What was the open price comparison between Apple and Microsoft this year?,open,ytd,stock_comparison
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What was Microsoft's open price today?,open,1d,price_inquiry
Compare the open price of Apple and Tesla this year.,open,ytd,stock_comparison
What was Apple's open price yesterday?,open,1d,price_inquiry
What is the open price of Microsoft for today?,open,1d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
Compare the open price of Google and Microsoft this year.,open,ytd,stock_comparison
What was Microsoft's open price 2 days ago?,open,2d,price_inquiry
What was Amazon's open price yesterday?,open,1d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Facebook 2 days ago.,open,2d,price_inquiry
What is the open price of Amazon for 5 days ago?,open,5d,price_inquiry
What was Amazon's open price yesterday?,open,1d,price_inquiry
What was Microsoft's open price 2 days ago?,open,2d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What was Microsoft's open price 5 days ago?,open,5d,price_inquiry
What is the open price of Microsoft for last month?,open,1mo,price_inquiry
Tell me the open price of Facebook 2 days ago.,open,2d,price_inquiry
What is the open price of Microsoft for 5 days ago?,open,5d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What was Microsoft's open price 3 months ago?,open,3mo,price_inquiry
Tell me the open price of Amazon 2 days ago.,open,2d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Amazon 2 days ago.,open,2d,price_inquiry
Tell me the open price of Facebook 5 days ago.,open,5d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What was Apple's open price 5 days ago?,open,5d,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What is the open price of Tesla for 2 days ago?,open,2d,price_inquiry
Tell me the open price of Amazon 6 months ago.,open,6mo,price_inquiry
What was the open price comparison between Apple and Microsoft this year?,open,ytd,stock_comparison
What was Google's open price 6 months ago?,open,6mo,price_inquiry
What was Google's open price 5 days ago?,open,5d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What was Amazon's open price last month?,open,1mo,price_inquiry
Tell me the open price of Google 5 days ago.,open,5d,price_inquiry
What was Apple's open price 5 days ago?,open,5d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
Tell me the open price of Facebook last year.,open,1y,price_inquiry
What was the open price comparison between Apple and Microsoft this year?,open,ytd,stock_comparison
What is the open price of Microsoft for 5 days ago?,open,5d,price_inquiry
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What was the open price comparison between Facebook and Microsoft this year?,open,ytd,stock_comparison
What is the open price of Facebook for 6 months ago?,open,6mo,price_inquiry
What was the open price comparison between Apple and Microsoft this year?,open,ytd,stock_comparison
What was Apple's open price yesterday?,open,1d,price_inquiry
What was Amazon's open price last month?,open,1mo,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
What is the open price of Microsoft for today?,open,1d,price_inquiry
What is the open price of Google for 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Apple 6 months ago.,open,6mo,price_inquiry
Compare the open price of Apple and Tesla this year.,open,ytd,stock_comparison
What was Facebook's open price last month?,open,1mo,price_inquiry
Tell me the open price of Tesla 6 months ago.,open,6mo,price_inquiry
What was Amazon's open price last month?,open,1mo,price_inquiry
What is the open price of Facebook for 3 months ago?,open,3mo,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
What is the open price of Amazon for last month?,open,1mo,price_inquiry
What is the open price of Microsoft for 5 days ago?,open,5d,price_inquiry
What is the open price of Microsoft for today?,open,1d,price_inquiry
Tell me the open price of Apple last month.,open,1mo,price_inquiry
What was Amazon's open price last month?,open,1mo,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Amazon 2 days ago.,open,2d,price_inquiry
Tell me the open price of Apple 2 days ago.,open,2d,price_inquiry
What is the open price of Microsoft for today?,open,1d,price_inquiry
Tell me the open price of Apple 2 days ago.,open,2d,price_inquiry
Tell me the open price of Tesla 6 months ago.,open,6mo,price_inquiry
Tell me the open price of Facebook last year.,open,1y,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
Tell me the open price of Facebook 2 days ago.,open,2d,price_inquiry
Tell me the open price of Amazon 6 months ago.,open,6mo,price_inquiry
Compare the open price of Google and Apple this year.,open,ytd,stock_comparison
What was Apple's open price 2 days ago?,open,2d,price_inquiry
Compare the open price of Tesla and Apple this year.,open,ytd,stock_comparison
What was Apple's open price yesterday?,open,1d,price_inquiry
Tell me the open price of Tesla 6 months ago.,open,6mo,price_inquiry
What was the open price comparison between Microsoft and Tesla this year?,open,ytd,stock_comparison
Tell me the open price of Apple today.,open,1d,price_inquiry
Compare the open price of Amazon and Facebook this year.,open,ytd,stock_comparison
Tell me the open price of Apple 5 days ago.,open,5d,price_inquiry
What was the open price comparison between Google and Facebook this year?,open,ytd,stock_comparison
What was Amazon's open price yesterday?,open,1d,price_inquiry
What was Microsoft's open price 3 months ago?,open,3mo,price_inquiry
What was Google's open price 6 months ago?,open,6mo,price_inquiry
Compare the open price of Google and Tesla this year.,open,ytd,stock_comparison
What was the open price comparison between Microsoft and Facebook this year?,open,ytd,stock_comparison
What is the open price of Apple for 2 days ago?,open,2d,price_inquiry
Compare the open price of Facebook and Apple this year.,open,ytd,stock_comparison
Compare the open price of Google and Microsoft this year.,open,ytd,stock_comparison
What was Microsoft's open price 2 days ago?,open,2d,price_inquiry
What was Microsoft's open price today?,open,1d,price_inquiry
Tell me the open price of Tesla 6 months ago.,open,6mo,price_inquiry
Compare the open price of Microsoft and Apple this year.,open,ytd,stock_comparison
What was the open price comparison between Google and Amazon this year?,open,ytd,stock_comparison
What was Amazon's open price last month?,open,1mo,price_inquiry
What was Apple's open price yesterday?,open,1d,price_inquiry
What was the open price comparison between Facebook and Microsoft this year?,open,ytd,stock_comparison
Tell me the open price of Apple 2 days ago.,open,2d,price_inquiry
What was Microsoft's open price 3 months ago?,open,3mo,price_inquiry
What was Amazon's open price last month?,open,1mo,price_inquiry
Tell me the open price of Tesla 2 days ago.,open,2d,price_inquiry
What was Amazon's open price last month?,open,1mo,price_inquiry
Tell me the open price of Tesla 2 days ago.,open,2d,price_inquiry
What was Microsoft's open price 5 days ago?,open,5d,price_inquiry
Tell me the open price of Tesla 6 months ago.,open,6mo,price_inquiry
What is the open price of Amazon for 5 days ago?,open,5d,price_inquiry
Tell me the open price of Amazon 6 months ago.,open,6mo,price_inquiry
Compare the open price of Apple and Microsoft this year.,open,ytd,stock_comparison
What is the open price of Facebook for today?,open,1d,price_inquiry
Compare the open price of Apple and Tesla this year.,open,ytd,stock_comparison
What was Google's open price last year?,open,1y,price_inquiry
What was Facebook's open price 2 days ago?,open,2d,price_inquiry
What is the low price of Microsoft for 3 months ago?,low,3mo,price_inquiry
What was Amazon's low price yesterday?,low,1d,price_inquiry
What was Apple's low price 3 months ago?,low,3mo,price_inquiry
Tell me the low price of Tesla last year.,low,1y,price_inquiry
Tell me the low price of Amazon last month.,low,1mo,price_inquiry
Compare the low price of Amazon and Tesla this year.,low,ytd,stock_comparison
What is the low price of Microsoft for 3 months ago?,low,3mo,price_inquiry
What was Apple's low price 3 months ago?,low,3mo,price_inquiry
What was Facebook's low price 6 months ago?,low,6mo,price_inquiry
Tell me the low price of Microsoft last year.,low,1y,price_inquiry
What was Apple's low price 3 months ago?,low,3mo,price_inquiry
What is the low price of Google for last month?,low,1mo,price_inquiry
What is the low price of Facebook for 3 months ago?,low,3mo,price_inquiry
Tell me the low price of Apple last month.,low,1mo,price_inquiry
What was Amazon's low price 5 days ago?,low,5d,price_inquiry
What is the low price of Microsoft for 2 days ago?,low,2d,price_inquiry
Tell me the low price of Facebook 5 days ago.,low,5d,price_inquiry
What was Microsoft's low price last month?,low,1mo,price_inquiry
What is the low price of Google for today?,low,1d,price_inquiry
What was Tesla's low price last month?,low,1mo,price_inquiry
Tell me the low price of Facebook 5 days ago.,low,5d,price_inquiry
Compare the low price of Tesla and Apple this year.,low,ytd,stock_comparison
Tell me the low price of Apple 2 days ago.,low,2d,price_inquiry
Tell me the low price of Amazon 2 days ago.,low,2d,price_inquiry
What was the low price comparison between Google and Facebook this year?,low,ytd,stock_comparison
Compare the low price of Tesla and Apple this year.,low,ytd,stock_comparison
What is the low price of Google for last month?,low,1mo,price_inquiry
What is the low price of Google for last month?,low,1mo,price_inquiry
What was Amazon's low price yesterday?,low,1d,price_inquiry
What was Facebook's low price last month?,low,1mo,price_inquiry
What is the low price of Amazon for last month?,low,1mo,price_inquiry
What was the low price comparison between Facebook and Tesla this year?,low,ytd,stock_comparison
Compare the low price of Google and Tesla this year.,low,ytd,stock_comparison
What is the low price of Microsoft for 2 days ago?,low,2d,price_inquiry
What was Amazon's low price 5 days ago?,low,5d,price_inquiry
What is the low price of Facebook for 3 months ago?,low,3mo,price_inquiry
What was Amazon's low price 5 days ago?,low,5d,price_inquiry
What is the low price of Tesla for 3 months ago?,low,3mo,price_inquiry
Compare the low price of Amazon and Tesla this year.,low,ytd,stock_comparison
Tell me the low price of Apple last month.,low,1mo,price_inquiry
What was Facebook's low price today?,low,1d,price_inquiry
Tell me the low price of Amazon last year.,low,1y,price_inquiry
Tell me the low price of Apple 5 days ago.,low,5d,price_inquiry
Compare the low price of Microsoft and Amazon this year.,low,ytd,stock_comparison
Tell me the low price of Google 2 days ago.,low,2d,price_inquiry
Tell me the low price of Apple today.,low,1d,price_inquiry
Compare the low price of Facebook and Microsoft this year.,low,ytd,stock_comparison
What was Apple's low price last year?,low,1y,price_inquiry
What was Amazon's low price yesterday?,low,1d,price_inquiry
Compare the low price of Tesla and Apple this year.,low,ytd,stock_comparison
What was Facebook's low price last month?,low,1mo,price_inquiry
Tell me the low price of Tesla last year.,low,1y,price_inquiry
Compare the low price of Apple and Microsoft this year.,low,ytd,stock_comparison
